12,-42,-17,-7,
13,-43,-17,-7,
14,-43,-17,-7,
15,-42,-18,-7,
16,-42,-18,-7,
17,-43,-17,-8,
18,-42,-18,-7,
19,-43,-18,-7,
20,-43,-17,-7,
21,-42,-17,-7,
22,-42,-18,-8,
23,-43,-17,-5,
24,-43,-22,-3,
25,-41,-38,3,
26,-35,-54,6,
27,-34,-52,7,
28,-32,-60,-6,
29,-26,-66,-12,
30,-18,-70,-12,
31,-12,-70,-15,
32,-11,-72,-15,
33,-6,-72,-13,
34,-3,-74,-14,
35,1,-72,-16,
36,6,-72,-10,
37,16,-63,-28,
38,16,-64,-26,
39,20,-59,-31,
40,21,-53,-35,
41,13,-51,-43,
42,-3,-51,-46,
43,-5,-42,-48,
44,-6,-36,-49,
45,-4,-30,-50,
46,-9,-35,-49,
47,-9,-48,-48,
48,-11,-47,-46,
49,-12,-48,-44,
50,-10,-51,-44,
51,-7,-55,-43,
52,0,-56,-42,
53,3,-57,-42,
54,6,-53,-43,
55,7,-51,-43,
56,11,-47,-44,
57,9,-46,-46,
58,9,-45,-45,
59,9,-43,-46,
60,9,-42,-46,
61,9,-44,-45,
62,10,-46,-45,
63,8,-47,-45,
64,4,-48,-45,
65,0,-47,-47,
66,-2,-46,-48,
67,-6,-44,-48,
68,-8,-39,-49,
69,-10,-35,-48,
70,-11,-33,-48,
71,-8,-25,-47,
72,-5,-21,-47,
73,-2,-18,-45,
74,2,-16,-44,
75,13,-22,-43,
76,14,-22,-42,
77,19,-26,-42,
78,21,-32,-40,
79,22,-37,-39,
80,21,-45,-38,
81,19,-47,-39,
82,22,-42,-39,
83,22,-24,-37,
84,14,-15,-38,
85,0,-11,-41,
86,-7,-18,-45,
87,-11,-26,-47,
88,-3,-25,-48,
89,4,-26,-47,
90,17,-22,-40,
91,24,-16,-30,
92,33,-18,-14,
93,34,-31,0,
94,31,-36,6,
95,28,-39,11,
96,28,-33,11,
97,33,-29,4,
98,34,-45,-18,
99,29,-41,-30,
100,25,-35,-37,
101,21,-36,-40,
102,8,-48,-44,
103,0,-64,-31,
104,-6,-70,-16,
105,-2,-69,-18,
106,5,-70,-10,
107,-5,-68,-22,
108,2,-71,-14,
109,-12,-66,-31,
110,-7,-49,-44,
111,-10,-41,-47,
112,-12,-17,-42,
113,-29,-10,-29,
114,-36,-13,-18,
115,-26,-2,-15,
116,-7,4,-13,
117,10,2,-14,
118,18,-2,-22,
119,19,-9,-30,
120,22,-20,-35,
121,20,-32,-41,
122,26,-44,-33,
123,27,-48,-27,
124,32,-45,-22,
125,34,-28,-17,
126,33,-35,-25,
127,30,-37,-31,
128,29,-44,-30,
129,27,-46,-30,
130,23,-45,-36,
131,18,-36,-40,
132,18,-34,-41,
133,21,-32,-40,
134,28,-29,-31,
135,22,-25,-36,
136,29,-28,-28,
137,31,-29,-25,
138,30,-33,-26,
139,29,-29,-31,
140,24,-25,-36,
141,9,-38,-46,
142,1,-50,-45,
143,-1,-50,-45,
144,-9,-51,-45,
145,-12,-53,-43,
146,-15,-51,-43,
147,-17,-51,-43,
148,-23,-45,-42,
